ticker,error,name,long_name,sector,industry,country,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_ebitda,ev_to_revenue,roe,roa,operating_margin,profit_margin,gross_margin,ebitda_margin,revenue_growth,earnings_growth,quarterly_revenue_growth,quarterly_earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash,total_debt,free_cash_flow,operating_cash_flow,beta,insider_ownership,institutional_ownership,shares_outstanding,float_shares,short_percent,price,week52_high,week52_low,avg_volume,recommendation,passed_filters,quality_score,growth_score,health_score,valuation_score,momentum_score,composite_score,multibagger_score,rationale,technical_error,current_price,rsi_14,ma_50,ma_200,pct_from_200ma,pct_from_52w_high,technical_score,supertrend_daily_signal,supertrend_daily_days,supertrend_weekly_signal,supertrend_weekly_weeks
INSW,,"International Seaways, Inc.","International Seaways, Inc.",Energy,Oil & Gas Midstream,United States,4929355776.0,5172725248.0,6.3550444,15.797652,,2.245234,3.9079285,6.381,4.101,0.37412,0.15758,0.64219004,0.61767,0.725,0.64269996,1.401,3.731,,3.784,0.28815,5.944,5.648,409396992.0,652766016.0,69650376.0,633065984.0,-0.1,0.16228001,0.84655,49531311.0,41482473.0,0.0616,99.52,102.36,42.26,554166.0,strong_buy,True,2.07917128764587,2.25,1.013456939809098,0.6929175447650346,1.1877562871714256,1.6029410673193618,10.0,"Solid growth (revenue +140%, EPS +373%); strong profitability (ROE 37%, op margin 64%). Valuation looks stretched.",,99.52,65.3,88.98,71.73,38.7,0.2,4.5,BUY,33,BUY,63
MGY,,Magnolia Oil & Gas Corporation,Magnolia Oil & Gas Corporation,Energy,Oil & Gas E&P,United States,6823726592.0,6785489408.0,12.342105,8.681541,,2.3817182,4.6109843,6.6,4.585,0.20854001,0.11788999,0.50688,0.28773,0.8222,0.69472003,0.501,1.366,,1.327,0.19243,1.583,1.572,295937984.0,413131008.0,332475744.0,1037092992.0,0.696,0.00736,0.89606005,236968592.0,235193697.0,0.1148,28.14,32.76,21.065,4322898.0,buy,True,1.4944274823046797,1.8868403833233436,-0.01667370981601274,0.7057235884984714,-0.1324704363362979,1.0151049295261925,9.9,"Solid growth (revenue +50%, EPS +137%); strong profitability (ROE 21%, op margin 51%). Recent price action is soft.",,28.14,64.5,26.07,26.29,7.1,13.0,8.5,BUY,5,SELL,10
SEZL,,Sezzle Inc.,Sezzle Inc.,Financial Services,Credit Services,United States,4011031296.0,4053388800.0,25.781385,17.920252,0.0848,20.339823,7.5411344,12.843,7.621,0.88851,0.48792,0.57167,0.3035,0.74967,0.59336,0.517,0.5,,0.477,0.52416,4.017,3.835,79757000.0,122115000.0,100542000.0,275596992.0,6.778,0.52681,0.45211,33675014.0,17114989.0,0.2299,119.11,195.71,49.5,716848.0,buy,True,2.4117867811300693,0.9636800026562914,0.2374896329939388,0.13402508823913234,-0.6216471987466488,1.0128498465501157,9.8,"Strong profitability (ROE 89%, op margin 57%); solid growth (revenue +52%, EPS +50%). Recent price action is soft.",,119.11,37.3,155.65,94.99,25.4,36.8,7.0,SELL,21,SELL,3
HL,,Hecla Mining Company,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,United States,13919041536.0,13455217664.0,24.963856,19.476429,,5.1981936,7.9812074,13.879,7.715,0.22173999,0.15305,0.4427,0.19150999,0.61395,0.5559,0.524,0.929,,1.043,0.008020000000000001,5.197,4.411,485340000.0,21478000.0,342344736.0,734268992.0,1.335,0.00558,0.77435,671768431.0,668261800.0,0.0,20.72,34.17,7.78,34786861.0,buy,True,1.2226541592237303,1.5126560108442326,1.261411677498575,-0.255906611294511,-0.5675862514478079,0.993547865586254,9.8,"Solid growth (revenue +52%, EPS +93%); healthy balance sheet (D/E 0.01, CR 5.2). Recent price action is soft.",,20.72,70.5,16.09,18.65,11.1,34.9,5.0,BUY,13,BUY,1
INVA,,"Innoviva, Inc.","Innoviva, Inc.",Healthcare,Biotechnology,United States,1522212352.0,1274395392.0,4.8773146,9.5339365,0.3055,1.2410177,3.4595892,6.522,2.896,0.36676,0.06949,0.43277,0.8119,0.72670996,0.44405997,0.193,,,,0.26859,16.007,14.654,579056000.0,331239008.0,110332496.0,191494000.0,0.337,0.01011,1.09513,72245485.0,67652117.0,0.1295,21.07,25.15,16.52,820441.0,buy,True,1.550704879957813,0.0,1.3791552091110622,1.1693468864980368,-0.4275358456256483,0.9640255069585324,9.7,"Strong profitability (ROE 37%, op margin 43%); healthy balance sheet (D/E 0.27, CR 16.0). Recent price action is soft.",,21.07,47.4,21.81,21.77,-3.2,13.1,8.0,SELL,37,BUY,42
EXEL,,"Exelixis, Inc.","Exelixis, Inc.",Healthcare,Biotechnology,United States,13400034304.0,12726578176.0,16.9,13.010415,,7.300216,5.501016,12.473,5.225,0.44393003,0.23974001,0.39513,0.35331002,0.96483004,0.41886002,0.106,0.262,,0.147,0.08999,3.456,3.244,839385024.0,165928992.0,739715136.0,1183422976.0,0.422,0.01845,1.07194,247781692.0,214123027.0,0.1586,54.08,57.57,33.76,2623112.0,buy,True,2.1311397669081527,-0.3031814274289818,1.2248967181650545,0.28601740882823445,0.8107192755699452,0.9532093278591963,9.6,"Strong profitability (ROE 44%, op margin 40%); healthy balance sheet (D/E 0.09, CR 3.5). Growth is modest — more of a compounder.",,54.08,51.6,54.24,46.9,15.3,5.3,9.0,SELL,12,BUY,108
AMG,,"Affiliated Managers Group, Inc.",,Financial Services,Asset Management,United States,9211566080.0,13073667072.0,12.376997,8.326023,0.8734,3.0485425,4.057601,20.898,5.759,0.24257,0.0312,0.30357,0.37719002,0.50273,0.27557,0.299,1.482,,1.205,0.7609600000000001,101.314,101.314,502800000.0,3199000064.0,277175008.0,1071800000.0,1.108,0.042329997,1.00915,25859933.0,24846224.0,0.0396,356.21,392.92,223.44,308148.0,strong_buy,True,0.48947938185106993,1.415200465318029,1.2910928321781572,0.5281365297298247,0.5448918470416095,0.9298822107409218,9.5,"Solid growth (revenue +30%, EPS +148%); healthy balance sheet (D/E 0.76, CR 101.3). Profitability is the softer spot.",,356.21,46.1,359.16,309.18,15.2,7.1,9.0,SELL,2,BUY,12
HLNE,,Hamilton Lane Incorporated,Hamilton Lane Incorporated,Financial Services,Asset Management,United States,5813804544.0,5292958208.0,15.842105,14.278202,,4.8041406,6.7731066,13.772,6.166,0.32416,0.10783,0.45933998,0.32141998,0.6066,0.44772997,0.565,0.505,,0.497,0.21558,4.111,3.982,337017984.0,364790016.0,231402752.0,373135008.0,1.173,0.11564,1.10079,43349167.0,39862449.0,0.1096,105.35,156.67,71.88,895932.0,buy,True,1.3700437097411609,0.9772418563732544,0.6879964838472918,0.13293520146884,-0.93048211240353,0.8007388725776343,9.4,"Strong profitability (ROE 32%, op margin 46%); solid growth (revenue +56%, EPS +50%). Recent price action is soft.",,105.35,65.3,88.05,107.7,-2.2,32.8,5.5,BUY,28,BUY,1
LGND,,Ligand Pharmaceuticals Incorpor,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,United States,5707365376.0,5481060352.0,29.575413,23.987553,,5.8943796,19.643856,41.208,18.865,0.21962,0.039920002,0.13488,0.6788,0.81198996,0.4578,0.337,8.25,,9.008,1.16944,31.178,30.826,1357757952.0,1131453056.0,139748880.0,131714000.0,0.983,0.02375,1.1617199,19935609.0,19478286.0,0.1306,286.29,326.63,157.52,360354.0,strong_buy,True,0.8343916186660746,1.8372453797382975,0.8050031958384481,-1.4540069345069935,0.46160857534334065,0.7158590180851268,9.3,"Solid growth (revenue +34%, EPS +825%); strong profitability (ROE 22%, op margin 13%). Valuation looks stretched.",,286.29,44.8,294.2,228.25,25.4,11.3,8.5,SELL,18,BUY,58
KRYS,,"Krystal Biotech, Inc.","Krystal Biotech, Inc. Common Stock",Healthcare,Biotechnology,United States,10258364416.0,9421586432.0,42.163013,36.87931,,7.990869,23.288847,47.275,21.389,0.20124,0.093669996,0.48999,0.54818,0.94639,0.45244,0.241,0.388,,0.429,0.00651,8.318,7.726,845630976.0,8853000.0,151739744.0,272337984.0,0.536,0.10828,1.0252401,29598836.0,23568369.0,0.17719999,346.58,382.535,136.73,409582.0,strong_buy,True,1.626816031257874,0.23609431579400805,1.6210058079175291,-1.9940933653240198,0.8118679059628001,0.6937992308047836,9.2,"Strong profitability (ROE 20%, op margin 49%); healthy balance sheet (D/E 0.01, CR 8.3). Valuation looks stretched.",,346.58,54.5,345.35,282.49,22.7,8.3,7.5,SELL,29,BUY,48
