ticker,error,name,long_name,sector,industry,country,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_ebitda,ev_to_revenue,roe,roa,operating_margin,profit_margin,gross_margin,ebitda_margin,revenue_growth,earnings_growth,quarterly_revenue_growth,quarterly_earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash,total_debt,free_cash_flow,operating_cash_flow,beta,insider_ownership,institutional_ownership,shares_outstanding,float_shares,short_percent,price,week52_high,week52_low,avg_volume,recommendation,passed_filters,quality_score,growth_score,health_score,valuation_score,momentum_score,composite_score,multibagger_score,rationale
INSW,,"International Seaways, Inc.","International Seaways, Inc.",Energy,Oil & Gas Midstream,United States,5181965824.0,5425334784.0,6.6892586,16.60722,,2.287026,4.1081944,6.692,4.301,0.37412,0.15758,0.64219004,0.61767,0.725,0.64269996,1.401,3.731,,3.784,0.28815,5.944,5.648,409396992.0,652766016.0,69650376.0,633065984.0,-0.101,0.16228001,0.84879994,49531311.0,41482473.0,0.0775,104.62,106.73,42.26,570909.0,strong_buy,True,2.0192536772214646,2.25,1.0012302220664167,0.6412706551101814,1.633945010966283,1.596471507497885,10.0,"Solid growth (revenue +140%, EPS +373%); strong profitability (ROE 37%, op margin 64%). Valuation looks stretched."
SEZL,,Sezzle Inc.,Sezzle Inc.,Financial Services,Credit Services,United States,3944691456.0,3987049216.0,25.688597,17.623863,0.0705,16.927746,7.4164085,12.633,7.496,0.88851,0.48792,0.57167,0.3035,0.74967,0.59336,0.517,0.5,,0.477,0.52416,4.017,3.835,79757000.0,122115000.0,100542000.0,275596992.0,6.669,0.52679,0.45314997,33675014.0,17115999.0,0.239,117.14,195.71,49.5,685685.0,none,True,2.3843080891101,0.9912272745867128,0.23451952882523222,0.11231379593649118,-0.5413659217738954,1.0115079008877952,9.9,"Strong profitability (ROE 89%, op margin 57%); solid growth (revenue +52%, EPS +50%). Recent price action is soft."
INVA,,"Innoviva, Inc.","Innoviva, Inc.",Healthcare,Biotechnology,United States,1526547072.0,1278730112.0,4.9484777,9.561086,0.2573,1.2445517,3.4694407,6.545,2.906,0.36676,0.06949,0.43277,0.8119,0.72670996,0.44405997,0.193,,,,0.26859,16.007,14.654,579056000.0,331239008.0,110332496.0,191494000.0,0.334,0.01007,1.09365,72245485.0,67651395.0,0.129,21.13,25.15,16.52,756120.0,none,True,1.5923863738313895,0.0,1.3790184309477689,1.2256717067795206,-0.2329001514751902,0.9946762683295276,9.8,"Strong profitability (ROE 37%, op margin 43%); healthy balance sheet (D/E 0.27, CR 16.0). Recent price action is soft."
MGY,,Magnolia Oil & Gas Corporation,Magnolia Oil & Gas Corporation,Energy,Oil & Gas E&P,United States,6738854912.0,6702550016.0,12.135372,8.553059,,2.352095,4.553634,6.519,4.529,0.20854001,0.11788999,0.50688,0.28773,0.8222,0.69472003,0.501,1.366,,1.327,0.19243,1.583,1.572,295937984.0,413131008.0,332475744.0,1037092992.0,0.698,0.00736,0.89677,236968592.0,235193697.0,0.114300005,27.79,32.76,21.065,4554048.0,buy,True,1.4241794063641986,1.9385596844307766,-0.029718545753212616,0.7167026822012128,-0.05681899764546397,1.0091285590265593,9.8,"Solid growth (revenue +50%, EPS +137%); strong profitability (ROE 21%, op margin 51%). Recent price action is soft."
AMG,,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",Financial Services,Asset Management,United States,9202256896.0,13064356864.0,12.485965,8.317609,0.6027,3.0454617,4.0535,20.883,5.755,0.24257,0.0312,0.30357,0.37719002,0.50273,0.27557,0.299,1.482,,1.205,0.7609600000000001,101.314,101.314,502800000.0,3199000064.0,277175008.0,1071800000.0,1.103,0.042329997,1.00806,25859933.0,24846224.0,0.0352,355.85,392.92,230.1,281445.0,strong_buy,True,0.5123386902804203,1.4662345680025308,1.2864483280941301,0.5821137713964661,0.7936211449191669,0.9688704540637196,9.7,"Solid growth (revenue +30%, EPS +148%); healthy balance sheet (D/E 0.76, CR 101.3). Profitability is the softer spot."
HL,,Hecla Mining Company,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,United States,14006372352.0,13542547456.0,25.120483,19.598627,,5.230808,8.031283,13.969,7.765,0.22173999,0.15305,0.4427,0.19150999,0.61395,0.5559,0.524,0.929,,1.043,0.008020000000000001,5.197,4.411,485340000.0,21478000.0,342344736.0,734268992.0,1.382,0.0055400003,0.77621,671768431.0,668288671.0,0.0,20.85,34.17,10.38,36615224.0,none,True,1.1791520306459098,1.5594668078811793,1.2362952778202263,-0.3589211518782398,-0.6384451895771269,0.9669256983585321,9.6,"Solid growth (revenue +52%, EPS +93%); healthy balance sheet (D/E 0.01, CR 5.2). Recent price action is soft."
HLNE,,Hamilton Lane Incorporated,Hamilton Lane Incorporated,Financial Services,Asset Management,United States,5456753664.0,5015835136.0,15.401869,13.484303,,4.509097,6.357141,13.051,5.843,0.32416,0.10783,0.45933998,0.32141998,0.6066,0.44772997,0.565,0.505,,0.497,0.21558,4.111,3.982,337017984.0,364790016.0,231402752.0,373135008.0,1.199,0.11564,1.10313,43349167.0,39862449.0,0.1019,98.88,155.66,71.88,775479.0,buy,True,1.4095891387704258,1.005459858182499,0.671018530833493,0.18089004142766635,-1.1463485764795238,0.8118124162752995,9.5,"Strong profitability (ROE 32%, op margin 46%); solid growth (revenue +56%, EPS +50%). Recent price action is soft."
EXEL,,"Exelixis, Inc.","Exelixis, Inc.",Healthcare,Biotechnology,United States,14453106688.0,13779650560.0,18.342768,13.689565,,7.8739204,5.933326,13.505,5.657,0.44393003,0.23974001,0.39513,0.35331002,0.96483004,0.41886002,0.106,0.262,,0.147,0.08999,3.456,3.244,839385024.0,165928992.0,739715136.0,1183422976.0,0.422,0.01845,1.07071,247781692.0,213602685.0,0.1546,58.33,59.72,33.76,2541937.0,buy,True,2.1028428844235205,-0.2854484640701917,1.2147195858959328,0.13811424712497994,1.5442189202123573,0.9610987288628562,9.5,"Strong profitability (ROE 44%, op margin 40%); constructive price momentum. Growth is modest — more of a compounder."
PARR,,"Par Pacific Holdings, Inc. Comm","Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,United States,4164781824.0,5150422016.0,4.8785205,6.1551785,,2.066214,0.4832209,4.019,0.598,0.53489,0.16871001,0.21122,0.09942,0.23056,0.1487,0.568,6.991,,6.772,0.5616599999999999,1.84,0.524,184996992.0,1134023040.0,82314872.0,555019008.0,0.773,0.026029998,1.03716,50099627.0,48740424.0,0.1325,83.13,87.03,32.24,968938.0,none,True,0.3379237477518,2.25,-0.76773762660316,1.351269494733475,1.4681941129067826,0.7480428475301104,9.4,"Solid growth (revenue +57%, EPS +699%); constructive price momentum. Balance sheet worth monitoring."
LGND,,Ligand Pharmaceuticals Incorpor,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,United States,5742451712.0,5516147200.0,29.665293,24.135017,,5.9306154,19.764618,41.471,18.986,0.21962,0.039920002,0.13488,0.6788,0.81198996,0.4578,0.337,8.25,,9.008,1.16944,31.178,30.826,1357757952.0,1131453056.0,139748880.0,131714000.0,0.976,0.0235,1.16003,19935609.0,19478286.0,0.1472,288.05,326.63,161.82,360493.0,none,True,0.8595251544080665,1.8349195495332058,0.8151028721434833,-1.5167128929890228,0.7659776353981339,0.7311550995631455,9.3,"Solid growth (revenue +34%, EPS +825%); strong profitability (ROE 22%, op margin 13%). Valuation looks stretched."
