ticker,technical_error,current_price,rsi_14,ma_50,ma_200,pct_from_200ma,pct_from_52w_high,technical_score,supertrend_daily_signal,supertrend_daily_days,supertrend_weekly_signal,supertrend_weekly_weeks
INSW,,99.52,65.3,88.98,71.73,38.7,0.2,4.5,BUY,33,BUY,63
MGY,,28.14,64.5,26.07,26.29,7.1,13.0,8.5,BUY,5,SELL,10
SEZL,,119.11,37.3,155.65,94.99,25.4,36.8,7.0,SELL,21,SELL,3
HL,,20.72,70.5,16.09,18.65,11.1,34.9,5.0,BUY,13,BUY,1
INVA,,21.07,47.4,21.81,21.77,-3.2,13.1,8.0,SELL,37,BUY,42
EXEL,,54.08,51.6,54.24,46.9,15.3,5.3,9.0,SELL,12,BUY,108
AMG,,356.21,46.1,359.16,309.18,15.2,7.1,9.0,SELL,2,BUY,12
HLNE,,105.35,65.3,88.05,107.7,-2.2,32.8,5.5,BUY,28,BUY,1
LGND,,286.29,44.8,294.2,228.25,25.4,11.3,8.5,SELL,18,BUY,58
KRYS,,346.58,54.5,345.35,282.49,22.7,8.3,7.5,SELL,29,BUY,48
PARR,,79.03,54.4,69.11,54.19,45.8,8.1,6.0,BUY,7,BUY,25
HRMY,,38.15,53.5,36.3,33.84,12.8,5.8,9.0,BUY,14,BUY,9
CARG,,36.85,54.0,34.41,33.92,8.6,5.6,9.0,BUY,43,BUY,8
ESNT,,68.07,55.3,64.95,62.31,9.2,2.2,7.5,BUY,47,BUY,8
SEIC,,109.53,78.6,97.92,87.25,25.5,0.0,2.0,BUY,36,BUY,18
CNS,,81.42,48.1,79.98,69.52,17.1,4.9,7.5,BUY,88,BUY,16
RELY,,26.67,61.8,23.28,18.06,47.7,0.0,3.0,BUY,12,BUY,8
CRUS,,115.33,26.1,139.46,140.45,-17.9,35.5,4.5,SELL,51,SELL,6
LQDA,,68.62,35.8,79.15,49.26,39.3,24.6,8.0,SELL,7,BUY,15
MLI,,63.22,43.4,63.97,61.36,3.0,10.2,9.5,SELL,4,BUY,3
RMBS,,91.24,40.4,108.82,108.72,-16.1,46.5,5.0,SELL,51,SELL,6
FHI,,63.7,61.0,59.88,55.6,14.6,1.9,6.0,BUY,31,BUY,35
COCO,,63.35,42.0,71.02,60.16,5.3,24.6,10.0,SELL,40,SELL,3
RDN,,36.59,43.2,37.36,35.35,3.5,7.9,8.5,SELL,12,BUY,16
DAVE,,354.72,49.1,365.98,253.0,40.2,19.8,7.0,SELL,18,BUY,19
ADEA,,26.24,42.6,28.77,23.19,13.1,22.0,10.0,BUY,14,SELL,6
ZWS,,49.01,44.5,49.4,48.28,1.5,7.8,8.5,SELL,2,BUY,18
FIVE,,250.24,69.9,206.72,203.43,23.0,0.0,4.5,BUY,27,BUY,3
ANIP,,75.35,41.7,80.31,80.08,-5.9,23.7,8.0,SELL,26,SELL,40
PRG,,38.77,35.1,42.93,34.56,12.2,18.4,9.5,SELL,10,BUY,17
LIVN,,78.74,47.0,80.49,68.42,15.1,7.7,9.0,SELL,12,BUY,68
AGX,,501.63,35.3,629.93,508.06,-1.3,37.2,6.5,SELL,34,SELL,1
QLYS,,181.98,61.3,150.28,122.98,48.0,7.1,4.5,BUY,14,BUY,12
FCFS,,225.28,60.7,213.95,193.45,16.5,3.3,6.0,BUY,1,SELL,5
CART,,49.83,58.4,46.47,41.71,19.5,2.4,7.5,BUY,11,BUY,9
KLIC,,85.75,39.8,105.39,76.85,11.6,35.9,8.5,SELL,34,SELL,4
DAR,,65.74,57.6,59.95,51.98,26.5,3.8,6.0,BUY,7,BUY,62
JOE,,68.89,63.8,64.08,64.49,6.8,5.4,7.5,BUY,15,SELL,22
MOG-A,,389.14,42.7,408.9,320.1,21.6,12.6,8.5,SELL,2,BUY,13
